"","chance_of_playing_next_round","chance_of_playing_this_round","code","cost_change_event","cost_change_event_fall","cost_change_start","cost_change_start_fall","dreamteam_count","element_type","ep_next","ep_this","event_points","first_name","form","id","in_dreamteam","news","news_added","now_cost","photo","points_per_game","second_name","selected_by_percent","special","squad_number","status","team","team_code","total_points","transfers_in","transfers_in_event","transfers_out","transfers_out_event","value_form","value_season","web_name","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","influence_rank","influence_rank_type","creativity_rank","creativity_rank_type","threat_rank","threat_rank_type","ict_index_rank","ict_index_rank_type","plural_name","plural_name_short","singular_name","singular_name_short","squad_select","squad_min_play","squad_max_play","ui_shirt_specific","element_count","draw","loss","name","played","points","position","short_name","strength","team_division","unavailable","win","strength_overall_home","strength_overall_away","strength_attack_home","strength_attack_away","strength_defence_home","strength_defence_away","pulse_id","vapm","games"
"21",NA,NA,200641,0,0,0,0,0,3,"2.8",NA,0,"Reiss","0.0",21,FALSE,"",NA,55,"200641.jpg",1.8,"Nelson","0.1",FALSE,NA,"a",1,3,30,0,0,0,0,"0.0","5.5","Nelson",622,1,1,2,7,0,0,0,1,0,0,0,105,"110.4","148.3","185.0","44.4",306,129,201,121,179,99,268,122,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,200,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0,17
"22",NA,NA,205533,0,0,0,0,0,4,"2.8",NA,0,"Edward","0.0",22,FALSE,"",NA,60,"205533.jpg",1.9,"Nketiah","1.0",FALSE,NA,"a",1,3,25,0,0,0,0,"0.0","4.2","Nketiah",628,2,0,3,9,0,0,0,0,1,0,1,66,"90.4","67.0","210.0","36.4",316,38,261,41,163,42,284,41,"Forwards","FWD","Forward","FWD",3,1,3,FALSE,61,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0,13
"23",NA,NA,209289,0,0,0,0,0,3,"2.0",NA,0,"Emile","0.0",23,FALSE,"",NA,45,"209289.jpg",2,"Smith Rowe","0.7",FALSE,NA,"a",1,3,4,0,0,0,0,"0.0","0.9","Smith Rowe",96,0,0,1,0,0,0,0,0,0,0,0,13,"9.8","6.3","0.0","1.6",364,152,336,154,407,163,368,154,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,200,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0,2
"24",NA,NA,223340,0,0,0,0,0,3,"2.8",NA,0,"Bukayo","0.0",24,FALSE,"",NA,55,"223340.jpg",2.7,"Saka","4.9",FALSE,NA,"a",1,3,71,0,0,0,0,"0.0","12.9","Saka",1746,1,6,7,18,0,0,0,6,0,0,4,259,"327.2","322.5","248.0","89.8",193,80,111,73,140,82,155,83,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,200,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0.0127272727272727,26
"25",NA,NA,242166,0,0,0,0,0,3,"2.4",NA,0,"Matteo","0.0",25,FALSE,"",NA,50,"242166.jpg",2,"Guendouzi","0.2",FALSE,NA,"a",1,3,48,0,0,0,0,"0.0","9.6","Guendouzi",1744,0,2,3,31,0,0,0,6,0,0,2,272,"333.6","235.1","146.0","71.6",188,78,151,98,203,107,191,96,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,200,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0,24
"26",0,NA,444145,0,0,0,0,0,3,"0.0",NA,0,"Gabriel Teodoro","0.0",26,FALSE,"Knee injury - Expected back 31 Dec","2020-08-15T10:00:11.409498Z",50,"444145.jpg",2.8,"Martinelli Silva","0.1",FALSE,NA,"i",1,3,39,0,0,0,0,"0.0","7.8","Martinelli",656,3,1,2,9,0,0,0,1,0,0,5,129,"162.8","36.6","226.0","42.5",281,121,294,145,150,84,272,124,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,200,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0.016,14
"27",NA,NA,462424,0,0,0,0,0,2,"2.6",NA,0,"William","0.0",27,FALSE,"",NA,45,"462424.jpg",0,"Saliba","5.0",FALSE,NA,"a",1,3,0,0,0,0,0,"0.0","0.0","Saliba",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",437,169,428,169,421,167,437,169,"Defenders","DEF","Defender","DEF",5,3,5,FALSE,173,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0,0
"28",NA,NA,47431,0,0,0,0,0,3,"3.7",NA,0,"Willian","0.0",478,FALSE,"",NA,80,"47431.jpg",4.7,"Borges Da Silva","8.1",FALSE,NA,"a",1,3,168,0,0,0,0,"0.0","21.0","Willian",2595,9,9,10,35,0,0,0,4,0,0,26,698,"834.8","1177.7","930.0","294.6",24,8,6,5,28,13,8,5,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,200,0,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1190,1270,1190,1200,1160,1270,1,0.03375,36
"29",0,NA,21205,0,0,0,0,0,1,"0.0",NA,0,"Tom","0.0",28,FALSE,"Knee injury - Unknown return date","2020-08-15T10:00:11.430596Z",45,"21205.jpg",3,"Heaton","0.2",FALSE,NA,"i",2,7,59,0,0,0,0,"0.0","13.1","Heaton",1794,0,0,4,35,1,0,0,0,0,67,3,346,"507.4","0.3","0.0","50.7",115,16,355,10,358,14,255,17,"Goalkeepers","GKP","Goalkeeper","GKP",2,1,1,TRUE,49,0,0,"Aston Villa",0,0,0,"AVL",2,NA,FALSE,0,1050,1080,1010,1080,1000,1110,2,0.0222222222222222,20
"30",NA,NA,37339,0,0,0,0,0,2,"0.0",NA,0,"Ahmed","0.0",29,FALSE,"",NA,45,"37339.jpg",2.2,"El Mohamady","0.7",FALSE,NA,"a",2,7,39,0,0,0,0,"0.0","8.7","El Mohamady",1024,1,1,2,28,0,0,0,1,0,0,7,224,"254.6","324.1","67.0","64.6",229,89,109,24,266,90,215,66,"Defenders","DEF","Defender","DEF",5,3,5,FALSE,173,0,0,"Aston Villa",0,0,0,"AVL",2,NA,FALSE,0,1050,1080,1010,1080,1000,1110,2,0.00444444444444445,18
