name,position,team,points,price
Sakho,DEF,Crystal Palace,11,4.5
Tomkins,DEF,Crystal Palace,48,4.5
Ward,DEF,Crystal Palace,77,4.5
Kelly,DEF,Crystal Palace,64,4.5
Ferguson,DEF,Crystal Palace,0,4
Mitchell,DEF,Crystal Palace,4,4
Zaha,MID,Crystal Palace,120,7
Townsend,MID,Crystal Palace,48,6
Milivojevic,MID,Crystal Palace,81,6
McArthur,MID,Crystal Palace,92,5.5
Schlupp,MID,Crystal Palace,51,5.5
Kouyaté,MID,Crystal Palace,85,5
Meyer,MID,Crystal Palace,23,5
McCarthy,MID,Crystal Palace,41,4.5
Riedewald,MID,Crystal Palace,22,4.5
Pierrick,MID,Crystal Palace,2,4.5
Ayew,FWD,Crystal Palace,132,6
Benteke,FWD,Crystal Palace,42,5.5
Wickham,FWD,Crystal Palace,15,4.5
Pickford,GKP,Everton,117,5
Lössl,GKP,Everton,0,4.5
Virgínia,GKP,Everton,0,4.5
Digne,DEF,Everton,120,6
Mina,DEF,Everton,78,5.5
Coleman,DEF,Everton,55,5
Keane,DEF,Everton,90,5
Holgate,DEF,Everton,71,5
Kenny,DEF,Everton,0,4.5
Branthwaite,DEF,Everton,11,4
Sigurdsson,MID,Everton,95,7
Walcott,MID,Everton,63,6
Bernard,MID,Everton,72,6
Iwobi,MID,Everton,52,6
André Gomes,MID,Everton,39,5.5
Davies,MID,Everton,59,5.5
Delph,MID,Everton,24,5
Gbamin,MID,Everton,4,5
Gordon,MID,Everton,17,4.5
Richarlison,FWD,Everton,165,8
Calvert-Lewin,FWD,Everton,126,7
Tosun,FWD,Everton,24,6
Kean,FWD,Everton,53,6
Bettinelli,GKP,Fulham,0,4.5
Rodák,GKP,Fulham,0,4.5
Fabri,GKP,Fulham,0,4
Bryan,DEF,Fulham,0,5
Le Marchand,DEF,Fulham,0,4.5
Ream,DEF,Fulham,0,4.5
Hector,DEF,Fulham,0,4.5
Christie,DEF,Fulham,0,4.5
Mawson,DEF,Fulham,0,4.5
Sessegnon,DEF,Fulham,0,4.5
Cairney,MID,Fulham,0,5.5
Knockaert,MID,Fulham,0,5.5
Cavaleiro,MID,Fulham,0,5.5
